State,Fatalities,Speeding,Alcohol,Distracted,Prior
Wyoming,17.4,42,32,19,10
Wisconsin,13.8,36,33,61,16
West Virginia,23.8,34,28,3,13
Washington,10.6,42,33,18,14
Virginia,12.7,19,27,13,12
Vermont,13.6,30,30,4,5
Utah,11.3,43,16,12,4
Texas,19.4,40,38,9,13
Tennessee,19.5,21,29,18,19
South Dakota,19.4,31,33,2,14
South Carolina,23.9,38,41,4,19
Rhode Island,11.1,34,38,8,21
Pennsylvania,18.2,50,31,4,12
Oregon,12.8,33,26,33,10
Oklahoma,19.9,32,29,8,6
Ohio,14.1,28,34,1,18
North Dakota,23.9,23,42,1,14
North Carolina,16.8,39,31,6,19
New York,12.3,32,29,12,20
New Mexico,18.4,19,27,33,2
New Jersey,11.2,16,28,14,22
New Hampshire,11.6,35,30,13,17
Nevada,14.7,37,32,5,1
Nebraska,14.9,13,35,7,10
Montana,21.4,39,44,16,15
Missouri,16.1,43,34,8,16
Mississippi,17.6,15,31,90,0
Minnesota,9.6,23,29,12,12
Michigan,14.1,24,28,5,23
Massachusetts,8.2,23,35,13,20
Maryland,12.5,34,32,29,1
Maine,15.1,38,30,13,16
Louisiana,20.5,35,33,27,2
Kentucky,21.4,19,23,22,24
Kansas,17.8,27,24,23,15
Iowa,15.7,17,25,3,13
Indiana,14.5,25,29,5,5
Illinois,12.8,36,34,6,4
Idaho,15.3,36,29,15,2
Hawaii,17.5,54,41,18,13
Georgia,15.6,19,25,5,7
Florida,17.9,21,29,8,6
District of Columbia,5.9,34,27,0,0
Delaware,16.2,38,30,13,1
Connecticut,10.8,46,36,13,18
Colorado,13.6,37,28,21,5
California,12,35,28,9,11
Arkansas,22.4,18,26,6,5
Arizona,18.6,35,28,16,4
Alaska,18.1,41,25,10,6
Alabama,18.8,39,30,4,20
